index_name,relation_name,uniqueness,status,sort_order,field_name,field_position
IDX_RPTASSESSMENT_TAXTRANSID,RPTASSESSMENT,NON_UNIQUE,ACTIVE,ASC,TAXTRANS_ID,0
PK_RPTASSESSMENT_1,RPTASSESSMENT,UNIQUE,ACTIVE,ASC,TAXTRANS_ID,0
FK_RPTASSDET_PROPERTYKND,RPTASSESSMENTDETAIL,NON_UNIQUE,ACTIVE,ASC,PROPERTYKIND_CT,0
FK_RPTASSESSMENTDETAIL_ASSLVL,RPTASSESSMENTDETAIL,NON_UNIQUE,ACTIVE,ASC,PROPERTYKIND_CT,0
FK_RPTASSESSMENTDETAIL_ASSLVL,RPTASSESSMENTDETAIL,NON_UNIQUE,ACTIVE,ASC,ACTUALUSE_CT,1
FK_RPTASSESSMENTDETAIL_ASSLVL,RPTASSESSMENTDETAIL,NON_UNIQUE,ACTIVE,ASC,GRYEAR,2
FK_RPTASSESSMENTDETAIL_ASSLVL,RPTASSESSMENTDETAIL,NON_UNIQUE,ACTIVE,ASC,ASSESSMENTLEVEL,3
IDX_RPTDETAIL_TAXTRANSID,RPTASSESSMENTDETAIL,NON_UNIQUE,ACTIVE,ASC,TAXTRANS_ID,0
PK_RPTASSESSMENTDETAIL_1,RPTASSESSMENTDETAIL,UNIQUE,ACTIVE,ASC,TAXDECDETAIL_ID,0
FK_RPTBLDGDEP_RPTASSESSMENT,RPTBLDGDEPRECIATION,NON_UNIQUE,ACTIVE,ASC,TAXTRANS_ID,0
PK_RPTBLDGDEPRECIATION_1,RPTBLDGDEPRECIATION,UNIQUE,ACTIVE,ASC,DEPRECIATION_ID,0
FK_RPTBLDGEXTRA_RPTASSESSMENT,RPTBLDGEXTRA,NON_UNIQUE,ACTIVE,ASC,TAXTRANS_ID,0
PK_RPTBLDGEXTRA_1,RPTBLDGEXTRA,UNIQUE,ACTIVE,ASC,EXTRA_ID,0
FK_RPTBLDGFLR_ACTUALUSE,RPTBLDGFLOOR,NON_UNIQUE,ACTIVE,ASC,ACTUALUSE_CT,0
FK_RPTBLDGFLR_RPTASSESSMENT,RPTBLDGFLOOR,NON_UNIQUE,ACTIVE,ASC,TAXTRANS_ID,0
IDX_RPTBLDGFLOOR1,RPTBLDGFLOOR,NON_UNIQUE,ACTIVE,ASC,TAXDECDETAIL_ID,0
PK_RPTBLDGFLOOR_1,RPTBLDGFLOOR,UNIQUE,ACTIVE,ASC,FLOOR_ID,0
FK_RPTBLDGINFO_RPTASSESSMENT,RPTBLDGINFO,NON_UNIQUE,ACTIVE,ASC,TAXTRANS_ID,0
PK_RPTBLDGINFO_1,RPTBLDGINFO,UNIQUE,ACTIVE,ASC,BLDGINFO_ID,0
FK_RPTBLDGSTRCMT_BLDGCMP,RPTBLDGSTRUCTURALMATERIAL,NON_UNIQUE,ACTIVE,ASC,BLDGCOMPONENT_CT,0
FK_RPTBLDGSTRCMT_RPTBLDGFLR,RPTBLDGSTRUCTURALMATERIAL,NON_UNIQUE,ACTIVE,ASC,FLOOR_ID,0
FK_RPTBLDGSTRCRMT_BLDGMT,RPTBLDGSTRUCTURALMATERIAL,NON_UNIQUE,ACTIVE,ASC,BLDGMATERIAL_CT,0
PK_RPTBLDGSTRUCTURALMATERIAL,RPTBLDGSTRUCTURALMATERIAL,UNIQUE,ACTIVE,ASC,STRUCTURALMATERIAL_ID,0
IDX_RPTCANCELLED_CNCLDTD,RPTCANCELLED,NON_UNIQUE,INACTIVE,ASC,CANCELLEDTDNO,0
PK_RPTCANCELLED_1,RPTCANCELLED,UNIQUE,ACTIVE,ASC,TAXTRANS_ID,0
FK_RPTCANCELLED_DETAIL_1,RPTCANCELLED_DETAIL,NON_UNIQUE,ACTIVE,ASC,RPTCTAXTRANS_ID,0
PK_RPTCANCELLED_DETAIL_1,RPTCANCELLED_DETAIL,UNIQUE,ACTIVE,ASC,RPTCNCLDDET_ID,0
PK_RPTCOMPROMISE_1,RPTCOMPROMISE,UNIQUE,ACTIVE,ASC,RPTC_ID,0
FK_RPTCOMPDET_RPTCOMP,RPTCOMPROMISEDETAIL,NON_UNIQUE,ACTIVE,ASC,RPTC_ID,0
PK_RPTCOMPROMISEDETAIL_1,RPTCOMPROMISEDETAIL,UNIQUE,ACTIVE,ASC,RPTCDET_ID,0
FK_RPTLANDAPP_CLASSLVL,RPTLANDAPPRAISAL,NON_UNIQUE,ACTIVE,ASC,CLASSLEVEL_CT,0
IDX_RPTLANDAPPRAISAL_TAXTRANS,RPTLANDAPPRAISAL,NON_UNIQUE,ACTIVE,ASC,TAXTRANS_ID,0
IDX_TAXDECDETAILID,RPTLANDAPPRAISAL,NON_UNIQUE,ACTIVE,ASC,TAXDECDETAIL_ID,0
PK_RPTLANDAPPRAISAL_1,RPTLANDAPPRAISAL,UNIQUE,ACTIVE,ASC,LANDAPPRAISAL_ID,0
FK_RPTLIABILITY_TAXPAYER,RPTLIABILITY,NON_UNIQUE,ACTIVE,ASC,LOCAL_TIN,0
FK_RPTLIABILITY_TAXPAYER2,RPTLIABILITY,NON_UNIQUE,ACTIVE,ASC,ADMINLOCAL_TIN,0
IDX_RPTLIABILITY_PROPID,RPTLIABILITY,NON_UNIQUE,ACTIVE,ASC,PROP_ID,0
PK_RPTLIABILITY_1,RPTLIABILITY,UNIQUE,ACTIVE,ASC,PROP_ID,0
FK_RPTMACHAPP_ACTUALUSE,RPTMACHAPPRAISAL,NON_UNIQUE,ACTIVE,ASC,ACTUALUSE_CT,0
