constraint_name,relation_name,index_name,field_name,field_position,referenced_constraint,referenced_relation,referenced_field,update_rule,delete_rule
FK_T_SFMVBLDGDEP_MNCPLTY,T_SFMVBLDGDEPRECIATION,FK_T_SFMVBLDGDEP_MNCPLTY,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
FK_SFMVBLDGEXTRA_BLDGEXTRITTM,T_SFMVBLDGEXTRAITEM,FK_SFMVBLDGEXTRA_BLDGEXTRITTM,EXTRAITEM_CT,0,PK_T_BLDGEXTRAITEM_1,T_BLDGEXTRAITEM,CODE,RESTRICT,RESTRICT
FK_T_SFMVBLDGEXTRA_MNCPLTY,T_SFMVBLDGEXTRAITEM,FK_T_SFMVBLDGEXTRA_MNCPLTY,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
FK_SFMVLAND_CLASSLEVEL,T_SFMVLAND,FK_SFMVLAND_CLASSLEVEL,CLASSLEVEL_CT,0,PK_T_CLASSLEVEL_1,T_CLASSLEVEL,CODE,RESTRICT,RESTRICT
FK_SFMVLANDADJ_ADJST,T_SFMVLANDADJUSTMENT,FK_SFMVLANDADJ_ADJST,ADJUSTMENT_CT,0,PK_T_ADJUSTMENT_1,T_ADJUSTMENT,CODE,RESTRICT,RESTRICT
FK_T_SFMVLANDADJ_ADJTYPE,T_SFMVLANDADJUSTMENT,FK_T_SFMVLANDADJ_ADJTYPE,ADJUSTMENTTYPE_CT,0,PK_T_ADJUSTMENTTYPE_1,T_ADJUSTMENTTYPE,CODE,RESTRICT,RESTRICT
FK_T_SFMVLANDADJ_MNCPLTY,T_SFMVLANDADJUSTMENT,FK_T_SFMVLANDADJ_MNCPLTY,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
FK_SFMVPLNTTREE_CLSSLVL,T_SFMVPLANTTREE,FK_SFMVPLNTTREE_CLSSLVL,CLASSLEVEL_CT,0,PK_T_CLASSLEVEL_1,T_CLASSLEVEL,CODE,RESTRICT,RESTRICT
FK_SFMVPLNTTREE_MNCPLTY,T_SFMVPLANTTREE,FK_SFMVPLNTTREE_MNCPLTY,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
FK_T_SFMVPLNTTREE_UNIT,T_SFMVPLANTTREE,FK_T_SFMVPLNTTREE_UNIT,UNIT_CT,0,PK_T_UNIT_1,T_UNIT,CODE,RESTRICT,RESTRICT
FK_T_SHARES,T_SHARES,FK_T_SHARES,ITAXTYPE_CT,0,PK_T_ITAXTYPE_1,T_ITAXTYPE,CODE,RESTRICT,RESTRICT
FK_SUBCLASS_MNCPLTY,T_SUBCLASSIFICATION,FK_SUBCLASS_MNCPLTY,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
FK_T_TAXPAYERDETAIL_1,T_TAXPAYERDETAIL,FK_T_TAXPAYERDETAIL_1,TAXPAYERDETAILGROUP_CT,0,PK_T_TAXPAYERDETAILGROUP_1,T_TAXPAYERDETAILGROUP,CODE,RESTRICT,RESTRICT
